autor,título_traducido,lengua,traductor,ciudad,lat,long,editorial,país,año,edición,páginas,título_original,lengua_original
"Borges, Jorge Luis; (Irby, James E.; Yates, Donald Alfred)", Labyrinths selected stories and other writings ,English  ,, London,51.509865,-0.118092, Penguin ,United Kingdom,1970,1, 287p,,Spanish 
"Borges, Jorge Luis", The book of imaginary beings ,English  ," Thomas di Giovanni, Norman ", Harmondsworth,51.3822,-0.9577, Penguin ,United Kingdom,1974,1, 171 p, El libro de los seres imaginarios ,Spanish 
"Borges, Jorge Luis", Elogio dell'ombra ,Italian  ," Tentori Montalto, Francesco ", Torino,45.116177,7.742615, Einaudi ,Italy,1977,1, 197 p, Elogio de la sombra ,Spanish 
"Borges, Jorge Luis", Il libro di sabbia ,Italian  ," Bacchi Wilcock, Livio ", Milano,45.46427,9.18951, Rizzoli ,Italy,1977,1, 160 p, El libro de arena ,Spanish 
"Borges, Jorge Luis", Het boek van zand ,Dutch  ," Belacortu, Mariolein Sabarte ", Amsterdam,52.379189,4.899431, De Bezige Bij ,Netherlands,1977,1, 159 p, El libro de la arena ,Spanish 
"Borges, Jorge Luis", O Aleph ,Portuguese  ," Cardozo, Flávio José ", Porto Alegre,-30.03306,-51.23, Globo ,Brazil,1978,3, viii  146 p, El Aleph ,Spanish 
"Borges, Jorge Luis", História universal da infâmia ,Portuguese  ," Cardozo, Flávio José ", Porto Alegre,-30.03306,-51.23, Globo ,Brazil,1978,3, 68 p,2 ed  Historia universal de la infamia ,Spanish 
"Borges, Jorge Luis", O livro de areia ,Portuguese  ," Averbuck, Ligia Morrone ", Porto Alegre,-30.03306,-51.23, Globo ,Brazil,1978,3, 125 p, El libro de arena ,Spanish 
"Borges, Jorge Luis", Doctor Brodie's report ,English  ," Di Giovanni, Norman Thomas; Borges, Jorge Luis ", New York,40.7808,-73.9772, Dutton ,United States of America,1978,1, 128 p, El informe de Brodie ,Spanish 
"Borges, Jorge Luis", Wereldschandkroniek ,Dutch  ," Sillevis, A. ", Amsterdam,52.379189,4.899431, Querido ,Netherlands,1978,1, 123 p,2 dr Historia universal de la infamia ,Spanish 
"Borges, Jorge Luis", Finzioni La biblioteca di Babele ,Italian  ," Lucentini, Franco ", Torino,45.116177,7.742615, Einaudi ,Italy,1978,1, 146 p, Ficciones ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Sei problemi per don Isidro Parodi ,Italian  ," Brocca, Vanna ", Roma,41.89193,12.51133, Editori riuniti ,Italy,1978,1, 167 p, Seis problemas para don Isidro Parodi ,Spanish 
"Borges, Jorge Luis", Labyrinthe ,German  ," Hesse, Eva; Horst, Karl August ", München,48.137154,11.576124, Heyne ,Germany,1979,1, 271 p, Taschenbuchausg,Spanish 
"Borges, Jorge Luis", Anthologia ,Greek," Kamperidis, Lampros ", Athina,37.983810,23.727539, Domos ,Greece,1979,1, 286 p, Anthología ,Spanish 
"Borges, Jorge Luis", Brodiova zpráva ,Czech  ," Forbelský, Josef ", Praha,50.08804,14.42076, Odeon ,Czechoslovakia (to 1992),1979,1, 124 p, El informe de Brodie ,Spanish 
"Borges, Jorge Luis", Borges - fra A til Z ,Norwegian  ," Risvik, Kjell ", Oslo,59.911491,10.757933, Gyldendal ,Norway,1979,1, 214 p, ,Spanish 
"Borges, Jorge Luis", Gåvornas natt ,Swedish  ," Söderberg, Lasse ", Uppsala,59.85882,17.63889, Bromberg ,Sweden,1979,1, 175 p, El libro de arena ,Spanish 
"Borges, Jorge Luis; (Cozarinsky, Edgardo)", Sur le cinéma ,French  ," Eisenschitz, Bernard; Herbout, Anabel ", Paris,48.8534,2.3488, Albatros ,France,1979,2, 156 p, ill Borges y el cine ,Spanish 
"Borges, Jorge Luis", Discussion ,French  ," Staub, Claire ", Paris,48.8534,2.3488, Gallimard ,France,1979,2, 172 p, Discusión ,Spanish 
"Borges, Jorge Luis", Kratke price ,Serbo-Croatian ," Vidakovic Petrov, Krinka ", Beograd,44.787197,20.457273, Rad ,Yugoslavia (to 2002),1979,1, 118 p, ,Spanish 
"Guerrero, Margarita; Borges, Jorge Luis", Manuale di zoologia fantastica ,Italian  ," Lucentini, Franco ", Torino,45.116177,7.742615, Einaudi ,Italy,1979,1, 163 p, Manual de zoología fantástica ,Spanish 
"Borges, Jorge Luis", Zyklische Nacht ausgew. Gedichte ,German  ," Wolff, Otto "," Wiesbaden, München",48.137154,11.576124, Limes ,Germany,1980,3, 155 p,2 Aufl,Spanish 
"Borges, Jorge Luis", Gesammelte Werke (2) Gedichte 1969-1976 ,German  ," Meyer-Clason, Curt ", München,48.137154,11.576124, Hanser ,Germany,1980,3, 177 p, ,Spanish 
"Borges, Jorge Luis", Gesammelte Werke (9) Borges über Borges ,German  ," Meyer-Clason, Christiane ", München,48.137154,11.576124, Hanser ,Germany,1980,3, 144 p, ,English Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Chroniques de Bustos Domecq ,French  ," Rosset, Françoise-Marie ", Paris,48.8534,2.3488, Denoël ,France,1980,5, 157 p, Crónicas de Bustos Domecq ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Six problèmes pour don Isidro Parodi ,French  ," Rosset, Françoise-Marie ", Paris,48.8534,2.3488, Denoël ,France,1980,5, 183 p, Seis problemas para don Isidro Parodi ,Spanish 
"Borges, Jorge Luis"," Livre de préfaces, Essai d'autobiographie ",French  ," Rosset, Françoise-Marie; Seymour Tripier, Michel ", Paris,48.8534,2.3488, Gallimard ,France,1980,5, 285 p," Prólogos con un prólogo de prólogos, An autobiographical essay",Spanish English 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Chroniques de Bustos Domecq ,French  ," Rosset, Françoise-Marie ", Paris,48.8534,2.3488, Denoël ,France,1980,5, 157 p, Crónicas de Bustos Domecq ,Spanish 
"Guerrero, Margarita; Borges, Jorge Luis", Manuel de zoologie fantastique ,French  ," Estrada, Gonzalo; Péneau, Yves ", Paris,48.8534,2.3488, C. Bourgois ,France,1980,5, 196 p, ill Manual de zoología fantástica ,Spanish 
"Borges, Jorge Luis", Ficciones ,English  ,," Franklin Center, PA",40.70732,-73.67596, Franklin Library ,United States of America,1980,1, xiii  305 p, ill Limited ed Ficciones ,Spanish 
"Borges, Jorge Luis", Fushi no hito ,Japanese  ," Kôji, Toki ", Tokyo,35.6895,139.69171, Hakusui-sha ,Japan,1980,1, 256 p, El Aleph ,Spanish 
"Borges, Jorge Luis", Ksiega piasku ,Polish  ," Chadzynska, Zofia ", Kraków,50.049683,19.944544, Wydawnictwo Literackie ,Poland,1980,1, 90 p, El libro de arena ,Spanish 
"Borges, Jorge Luis"," The book of sand, The gold of the tigers selected later poems ",English  ," Giovanni, Norman Thomas di; Reid, Alastair ", Harmondsworth,51.3822,-0.9577," Penguin, London Allen Lane ",United Kingdom,1980,2, vi  186; vi  186 p, El libro de arena etc,Spanish 
"Borges, Jorge Luis", Labyrinths selected stories and other writings ,English  ,, Harmondsworth,51.3822,-0.9577, Penguin ,United Kingdom,1980,2, 287 p, ,Spanish 
"Borges, Jorge Luis", Kniha z piesku ,Slovak  ," Noskovicová, Nelida ", Bratislava,48.14816,17.10674, Tatran ,Czechoslovakia (to 1992),1980,1, 87 p, El libro de arena ,Spanish 
